run_number,time_ms
0,6092.287
1,4957.120
2,4851.800
3,4831.487
4,4831.168
5,4863.361
6,4874.183
7,4867.041
8,4876.834
9,4889.408
10,4879.216
11,4819.705
12,4895.154
13,4910.232
14,4843.378
15,4844.653
16,4876.230
17,4840.198
18,4826.332
19,4895.956
20,4823.022
21,4871.734
22,4835.626
23,4868.629
24,4826.624
25,4827.449
26,4893.996
27,4836.951
28,4859.322
29,4840.190
