run_number,time_ms
0,4102.701
1,4109.037
2,4095.135
3,4113.603
4,4115.657
5,4135.141
6,4093.371
7,4106.207
8,4116.150
9,4077.757
10,4112.820
11,4081.617
12,4076.584
13,4123.915
14,4096.486
15,4143.653
16,4068.453
17,4054.649
18,4130.121
19,4134.738
20,4078.577
21,4116.295
22,4094.438
23,4068.881
24,4062.772
25,4117.610
26,4020.357
27,4091.903
28,4123.892
29,4031.757
